64,0.82
66,0.82
67,0.82
63,0.83
64,0.84
67,0.84
67,0.84
66,0.84
64,0.84
67,0.84
66,0.84
64,0.84
63,0.85
66,0.85
67,0.85
63,0.85
66,0.85
67,0.86
67,0.86
64,0.86
64,0.86
63,0.86
67,0.86
67,0.87
67,0.87
66,0.87
64,0.88
64,0.88
63,0.88
65,0.88
67,0.88
66,0.89
63,0.89
64,0.89
65,0.89
67,0.9
67,0.9
66,0.9
63,0.9
63,0.9
63,0.9
64,0.91
67,0.91
67,0.91
65,0.91
63,0.91
66,0.92
66,0.92
63,0.92
66,0.92
68,0.92
61,0.94
63,0.94
66,0.94
67,0.94
65,0.94
65,0.95
64,0.95
68,0.95
65,0.96
65,0.97
68,0.97
65,0.97
65,0.98
65,0.98
66,0.99
67,0.99
64,0.99
63,0.99
66,0.99
67,0.99
65,1.0
64,1.0
65,1.0
